,p-thresh(%),TP,FP,PPV,Est. Profits,sim_profits,sim_profits_4q
0,5,121.0,983.0,0.10960144927536232,11.350000000000001,10.14500000000001,7.720000000000027
1,6,114.0,900.0,0.11242603550295859,12.0,10.085000000000036,8.560000000000002
2,7,110.0,822.0,0.11802575107296137,13.899999999999999,12.194999999999993,12.5
3,8,104.0,733.0,0.12425328554360812,15.350000000000001,12.43999999999997,10.909999999999997
4,9,97.0,646.0,0.13055181695827725,16.200000000000003,11.210000000000008,12.824999999999989
5,10,89.0,563.0,0.13650306748466257,16.349999999999998,5.63000000000001,15.975000000000009
6,11,79.0,463.0,0.14575645756457564,16.349999999999998,4.675000000000011,14.034999999999997
7,12,72.0,397.0,0.1535181236673774,16.15,5.50500000000001,15.230000000000018
8,13,61.0,334.0,0.15443037974683543,13.8,-0.32499999999998863,16.825000000000003
9,14,57.0,276.0,0.17117117117117117,14.7,1.690000000000012,11.894999999999996
10,15,52.0,230.0,0.18439716312056736,14.5,4.095000000000013,13.224999999999994
11,16,44.0,187.0,0.19047619047619047,12.65,5.460000000000001,8.930000000000007
12,17,34.0,156.0,0.17894736842105263,9.2,3.8700000000000045,6.755000000000003
13,18,30.0,135.0,0.18181818181818182,8.25,4.724999999999994,5.214999999999996
14,19,26.0,110.0,0.19117647058823528,7.5,4.335000000000001,3.1199999999999974
15,20,20.0,92.0,0.17857142857142858,5.3999999999999995,2.630000000000001,3.005000000000002
16,21,14.0,73.0,0.16091954022988506,3.35,4.739999999999998,5.0
17,22,11.0,54.0,0.16923076923076924,2.8,1.1450000000000002,3.1499999999999995
18,23,10.0,32.0,0.23809523809523808,3.4,2.12,4.639999999999999
19,24,8.0,26.0,0.23529411764705882,2.7,1.7900000000000003,6.050000000000001
20,25,4.0,19.0,0.17391304347826086,1.0499999999999998,-0.9800000000000006,7.26
